Mots-cles,Scores,cibles
real gdp,0.7395,01
gdp measured,0.6705,01
gdp constant,0.653,01
gdp,0.6343,01
gdp capita,0.6243,01
dividing gdp,0.591,01
annual growth,0.5868,01
product gdp,0.5808,01
country growth,0.5744,01
growth rate,0.5548,01
gdp real,0.716,02
real gdp,0.7075,02
gdp calculated,0.6829,02
output gdp,0.6688,02
estimates gdp,0.6596,02
gdp,0.6538,02
gdp refers,0.6533,02
refers gdp,0.6337,02
product gdp,0.6247,02
informal employment,0.6746,03
employed informal,0.6368,03
informal jobs,0.5887,03
enterprises informal,0.5879,03
informal sector,0.5557,03
household subsistence,0.5551,03
work informal,0.5488,03
subsistence,0.5397,03
employment comprises,0.5268,03
employment defined,0.5225,03
material consumption,0.6231,04
footprint mf,0.5983,04
material footprint,0.5909,04
material economy,0.5817,04
economy mf,0.5308,04
consumption dmc,0.5144,04
footprint biomass,0.5006,04
consumption dmc,0.6098,04
material consumption,0.6017,04
material economy,0.5669,04
economy dmc,0.5616,04
consumption materials,0.5478,04
exports dmc,0.5473,04
material footprint,0.5239,04
footprint mf,0.5153,04
dmc measures,0.5084,04
dmc material,0.5036,04
earnings employees,0.6542,05
earnings used,0.6031,05
earnings refer,0.5998,05
gross remuneration,0.5748,05
hourly earnings,0.5711,05
earnings paid,0.5632,05
earnings,0.5557,05
remuneration total,0.549,05
statistics earnings,0.5383,05
earnings exclude,0.5381,05
employment seek,0.6452,05
employment unemployment,0.6212,05
definitions employment,0.6115,05
employment defined,0.5934,05
unemployment refer,0.5878,05
available employment,0.5825,05
measure employment,0.5818,05
education formal,0.6795,06
formal education,0.6475,06
education defined,0.6137,06
considered education,0.5367,06
informal learning,0.5288,06
isced education,0.5285,06
education employment,0.505,06
child labour,0.5817,07
occupational accidents,0.7408,08
accident occupational,0.7217,08
occupational injuries,0.7061,08
injury occupational,0.6904,08
fatal occupational,0.6281,08
accident workers,0.6224,08
occupational disease,0.5987,08
ilo constitution,0.6923,08
ilo declaration,0.6702,08
ilo conventions,0.6213,08
provisions ilo,0.6043,08
established ilo,0.5977,08
ilo normative,0.553,08
obligation ilo,0.552,08
ilo supervisory,0.5472,08
ilo member,0.5408,08
supervisory ilo,0.5403,08
output gdp,0.6394,09
gdp,0.5971,09
product gdp,0.5876,09
gdp tdgdp,0.5829,09
direct gdp,0.5782,09
gdp sum,0.562,09
tourism consumption,0.5489,09
gdp equal,0.5329,09
national output,0.5141,09
gross value,0.5082,09
oda donors,0.5225,0A
aid trade,0.5037,0A
youth employment,0.5887,0b
youth labour,0.5745,0b
international labour,0.5215,0b
atms scaled,0.5999,10
number atms,0.5808,10
atms refers,0.5784,10
machines atms,0.5437,10
atms country,0.5364,10
atms 100,0.5332,10
atms,0.527,10
commercial banks,0.5144,10
account financial,0.5783,10
money accounts,0.5749,10
account bank,0.5523,10
institution accounts,0.5281,10
definition account,0.5233,10
having account,0.5086,10
adults financial,0.5068,10
